name,year,country,genre,director,rating
Соник в кино,2020,"США, Япония, Канада","боевик, комедия, фантастика, приключения",Джефф Фаулер,6.6
В центре внимания,2015,США,"драма, криминал, биография",Том Маккарти,7.5
Веном,2018,"США, Китай","фантастика, боевик, триллер, ужасы",Рубен Фляйшер,6.9
Семейство Белье,2014,"Франция, Бельгия","драма, комедия, музыка",Эрик Лартиго,7.2
Мавка. Лесная песня,2022,Украина,"мультфильм, фэнтези, комедия","Александра Рубан, Олег Маламуж",97%
Шрэк 5,2022,США,"мультфильм, фэнтези, комедия, приключения, семейный",,98%
Убить Билла,2003,"США, Япония","боевик, триллер, драма, криминал",Квентин Тарантино,7.6
Лука,2021,США,"мультфильм, фэнтези, комедия, приключения, семейный",Энрико Касароса,7.8
Королевская битва,2000,Япония,"боевик, триллер, фантастика, драма",Киндзи Фукасаку,7.5
Пятьдесят оттенков свободы,2018,США,"триллер, драма, мелодрама",Джеймс Фоули,5.4
Рассвет мертвецов,2004,"США, Канада, Япония, Франция","ужасы, боевик",Зак Снайдер,7.3
Меч дракона,2015,"Китай, Гонконг","фэнтези, боевик, драма, история",Дэниэл Ли,6.6
Достать ножи,2019,США,"детектив, комедия, драма, криминал",Райан Джонсон,8.0
Гонка со временем,2021,США,триллер,Филлип Нойс,5.4
Никто,2021,"США, Япония","боевик, триллер, криминал",Илья Найшуллер,7.4
Ключ от всех дверей,2005,"США, Германия","ужасы, триллер, драма, детектив",Иэн Софтли,7.4
Легенда о волках,2020,"Ирландия, Люксембург, Франция, США, Великобритания","мультфильм, фэнтези, приключения, семейный","Томм Мур, Росс Стюарт",8.2
Матрица,1999,"США, Австралия","фантастика, боевик","Лана Вачовски, Лилли Вачовски",8.5
В тихом омуте,2019,США,"триллер, криминал, детектив, драма",Адам Рэндолл,6.8
Падение Луны,2022,"США, Китай, Канада","фантастика, боевик",Роланд Эммерих,5.4
King’s Man: Начало,2021,"Великобритания, США","боевик, триллер, приключения",Мэттью Вон,5.9
Доктор Стрэндж,2016,США,"фантастика, фэнтези, боевик, приключения",Скотт Дерриксон,7.5
Месть от кутюр,2015,Австралия,"драма, комедия",Джослин Мурхаус,7.3
Моана,2016,США,"мультфильм, мюзикл, фэнтези, комедия, приключения, семейный","Рон Клементс, Джон Маскер, Дон Холл, ...",7.7
Джек Ричер,2012,США,"боевик, триллер, детектив, криминал",Кристофер МакКуорри,7.2
Алиса в Стране чудес,2010,"США, Великобритания","фэнтези, детектив, приключения, семейный",Тим Бёртон,7.1
Манк,2020,США,"биография, драма",Дэвид Финчер,7.1
Охотники за разумом,2004,"США, Великобритания, Нидерланды, Финляндия","ужасы, триллер, криминал",Ренни Харлин,7.5
Звёздные войны: Эпизод 4 — Новая надежда,1977,"США, Великобритания","фантастика, боевик, фэнтези, приключения",Джордж Лукас,8.1
Безумное кино для взрослых,2021,"Румыния, Люксембург, Чехия, Хорватия, Швейцария, Великобритания","драма, комедия",Раду Жуде,6.0
Король Англии,2019,"Великобритания, Венгрия, США, Австралия","биография, драма, военный, история",Дэвид Мишо,7.1
CODA: Ребенок глухих родителей,2020,"Франция, Канада, США","драма, комедия, музыка",Шан Хейдер,8.0
Армия мертвецов,2021,США,"ужасы, драма, боевик",Зак Снайдер,5.9
Золушка и тайна волшебного камня,2021,США,мультфильм,Элис Блехарт,–
Бёрдмэн,2014,США,"драма, комедия",Алехандро Гонсалес Иньярриту,7.6
Зверопой 2,2021,"США, Япония","мультфильм, мюзикл, комедия, приключения, семейный",Гарт Дженнингс,8.0
Рыцари справедливости,2020,"Дания, Швеция, Финляндия","драма, комедия, боевик, криминал",Андерс Томас Йенсен,7.4
Люди Икс: Начало. Росомаха,2009,"США, Великобритания","фантастика, боевик",Гэвин Худ,7.4
Голодные игры,2012,США,"фантастика, боевик, триллер, приключения",Гэри Росс,7.3
Шрэк 2,2004,США,"мультфильм, фэнтези, мелодрама, комедия, приключения, семейный","Эндрю Адамсон, Келли Эсбёри, Конрад Вернон",7.7
Пролетая над гнездом кукушки,1975,США,драма,Милош Форман,8.5
Дождливый день в Нью-Йорке,2019,США,"мелодрама, комедия",Вуди Аллен,7.2
Особое мнение,2002,США,"фантастика, боевик, триллер, криминал, детектив",Стивен Спилберг,7.7
Гарри Поттер 20 лет спустя: Возвращение в Хогвартс,2022,"Великобритания, США","документальный, семейный","Кэйси Паттерсон, Джо Перлман, Эрен Криви, ...",8.1
С широко закрытыми глазами,1999,"США, Великобритания","триллер, драма, детектив",Стэнли Кубрик,7.5
Гарри Поттер и Дары Смерти: Часть I,2010,"Великобритания, США","фэнтези, приключения",Дэвид Йейтс,7.9
Поезд в Пусан,2016,Корея Южная,"ужасы, боевик",Ён Сан-хо,7.1
Кто-нибудь видел мою девчонку?,2020,Россия,драма,Ангелина Никонова,6.6
Трансфигурация,2016,США,"ужасы, драма",Майкл О’Ши,5.6
Король Артур,2004,"США, Великобритания, Ирландия","боевик, драма, приключения, военный, история",Антуан Фукуа,7.1
Кровавый алмаз,2006,"США, Германия","триллер, драма, приключения",Эдвард Цвик,7.8
Маска,1994,США,"комедия, фэнтези, криминал",Чак Рассел,8.0
Последний богатырь: Посланник Тьмы,2021,Россия,"приключения, комедия, фэнтези",Дмитрий Дьяченко,6.6
Четыре комнаты,1995,США,комедия,"Эллисон Андерс, Александр Рокуэлл, Роберт Родригес, ...",7.7
Между небом и землей,2005,США,"фэнтези, драма, мелодрама, комедия",Марк Уотерс,7.6
Волшебный дракон,2021,"Китай, США, Гонконг","мультфильм, фэнтези, мелодрама, комедия, приключения, семейный",Крис Аппельханс,7.5
мама!,2017,США,"ужасы, драма, триллер",Даррен Аронофски,7.1
Назад в будущее,1985,США,"фантастика, комедия, приключения",Роберт Земекис,8.6
Под покровом ночи,2016,США,"триллер, драма",Том Форд,7.3
